team_id,team,player_id,name,year,hometown,high_school,previous_school,height,position,jersey,url,season
52,Bellarmine,9801,Andrea Chiquemba,Redshirt Junior,"Vila Nova de Gaia, Portugal",Francisco Franco,University of Detroit Mercy/Eastern Florida State College,"6'1""",F,14,https://athletics.bellarmine.edu/sports/womens-basketball/roster/andrea-chiquemba/9801,2025-26
52,Bellarmine,9505,Erin Toller,Graduate Student,"Louisville, KY",Sacred Heart Academy,University of Kentucky/Georgetown College,"5'7""",G,20,https://athletics.bellarmine.edu/sports/womens-basketball/roster/erin-toller/9505,2025-26
52,Bellarmine,9498,Hana Abdel Aal,Sophomore,"Alexandria, Egypt",Alexandria House of English,,"6'2""",C,35,https://athletics.bellarmine.edu/sports/womens-basketball/roster/hana-abdel-aal/9498,2025-26
52,Bellarmine,9863,Kendall Wingler,Graduate Student,"Ekron, KY",Meade County,IU Indy/Butler University/Eastern Kentucky University,"5'9""",G,55,https://athletics.bellarmine.edu/sports/womens-basketball/roster/kendall-wingler/9863,2025-26
67,Boston College,,Athena Tomlinson,Sophomore,"Fresno, Calif.",Clovis West,,5' 5'' ,G,0,https://bceagles.com/sports/womens-basketball/roster/athena-tomlinson/25769,2025-26
67,Boston College,,Erin Houpt,R-Sr,"Danville, Ill.",Danville,,5' 6'' ,G,1,https://bceagles.com/sports/womens-basketball/roster/erin-houpt/25773,2025-26
67,Boston College,,Teionni McDaniel,Graduate,,Centennial,,5' 9'' ,G,2,https://bceagles.com/sports/womens-basketball/roster/teionni-mcdaniel/26058,2025-26
67,Boston College,,Ava McGee,Senior,"Washington, D.C.",Maret,,5' 10'' ,G,3,https://bceagles.com/sports/womens-basketball/roster/ava-mcgee/25768,2025-26
67,Boston College,,Lily Carmody,Sophomore,"Melbourne, Australia",Melbourne Tigers,,5' 11'' ,G,8,https://bceagles.com/sports/womens-basketball/roster/lily-carmody/25777,2025-26
67,Boston College,,Kaia Henderson,R-Jr,"Utica, N.Y.",New Hartford,,5' 6'' ,G,11,https://bceagles.com/sports/womens-basketball/roster/kaia-henderson/25776,2025-26
67,Boston College,,Amirah Anderson,Freshman,"Stafford, Va.",Bishop Ireton,,5' 11'' ,G,21,https://bceagles.com/sports/womens-basketball/roster/amirah-anderson/25770,2025-26
